type,CAT perceelopp,CAT OppBebouwd,Count of id,Average of dVolumeR (2),Average of dVol vergroten,Average of dVol verkleinen
woonvernieuwingsgebied,2_klein,1_zeer klein,17,494.20358158823535,494.20358158823535,0
woonvernieuwingsgebied,2_klein,2_klein,112,213.39653591071433,213.39653591071433,0
woonvernieuwingsgebied,2_klein,3_middel,210,292.56069402857145,292.56069402857145,0
woonvernieuwingsgebied,2_klein,4_groot,181,440.20704127071826,440.20704127071826,0
woonvernieuwingsgebied,2_klein,5_zeer groot,5,1411.8421999999998,1411.8421999999998,0
woonvernieuwingsgebied,3_middel,1_zeer klein,16,1154.1412525625,1154.1412525625,0
woonvernieuwingsgebied,3_middel,2_klein,33,203.55202736363634,203.55202736363634,0
woonvernieuwingsgebied,3_middel,3_middel,78,370.24163961538466,370.24163961538466,0
woonvernieuwingsgebied,3_middel,4_groot,217,429.95749889400935,429.95749889400935,0
woonvernieuwingsgebied,3_middel,5_zeer groot,33,1425.0582969696966,1425.0582969696966,0
woonvernieuwingsgebied,4_groot,1_zeer klein,3,132.35765999999998,132.35765999999998,0
woonvernieuwingsgebied,4_groot,2_klein,13,118.54777430769232,118.54777430769232,0
woonvernieuwingsgebied,4_groot,3_middel,5,606.0887500000001,606.0887500000001,0
woonvernieuwingsgebied,4_groot,4_groot,65,620.5742964615384,620.5742964615384,0
woonvernieuwingsgebied,4_groot,5_zeer groot,42,1557.8289619047619,1557.8289619047619,0
woonvernieuwingsgebied,5_heel groot,1_zeer klein,1,153.814,153.814,0
woonvernieuwingsgebied,5_heel groot,2_klein,6,115.63616733333333,115.63616733333333,0
woonvernieuwingsgebied,5_heel groot,3_middel,2,134.12150300000002,134.12150300000002,0
woonvernieuwingsgebied,5_heel groot,4_groot,3,1310.8220133333332,1310.8220133333332,0
woonvernieuwingsgebied,5_heel groot,5_zeer groot,12,4272.145775,4272.145775,0
