id,opp,oppBebouwd,hoogte,oppVerhouding,volVerhouding,zone,zoneId,type,typeId,mobi,volume,volNieuw,volNieuwGem
62,6981.97,0.0,0.0,0.0,0.0,OOSTVELD,7,landbouwgebied,5,6744.0,0.0,0.0,0.38087606
63,438.24,168.26,7.702062,0.38394487,2.9571674,ST JANSDREEF,23,woongebied,1,7429.0,1295.949,1215.3156,1461.8152
64,161.2,81.3,10.17,0.50434244,5.129163,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonuitbreidingsgebied,3,8001.0,826.82104,826.82104,805.8741
65,1101.42,299.97,7.27,0.2723484,1.9799731,MOLENSTRAAT,27,woongebied,1,7998.0,2180.782,2015.5616,2408.1765
66,249.77,79.19,9.64,0.31705168,3.0563784,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7918.0,763.39166,763.39166,784.37964
67,84.82,54.17,7.7400093,0.63864654,4.94313,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7923.0,419.27628,330.26352,511.08246
68,19530.11,0.0,0.0,0.0,0.0,BALGERHOEK,20,woongebied,1,6029.0,0.0,0.0,0.0
69,107.67,58.91,8.39,0.54713476,4.590461,KERKSTRAAT   ROZE,25,woonvernieuwingsgebied,2,7910.0,494.2549,704.3476,509.21884
70,234.69,234.69,5.79,1.0,5.79,GALGENAKKER,22,woongebied,1,7113.0,1358.8551,1643.8649,1490.6252
71,3581.64,0.0,0.0,0.0,0.0,GALGENAKKER,22,woonuitbreidingsgebied,3,7048.0,0.0,0.0,0.0
72,1178.75,205.18,7.34,0.17406574,1.2776425,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7823.0,1506.0211,1917.2966,1619.1967
73,33502.33,0.0,0.0,0.0,0.0,MOERSTRAAT,15,landbouwgebied,5,4714.0,0.0,0.0,0.571314
74,58.74,65.5,5.51,1.1150833,6.1441097,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8060.0,360.90503,570.9977,459.7769
75,393.54,76.8,0.0,0.1951517,0.0,GALGENAKKER,22,woonuitbreidingsgebied,3,7048.0,0.0,133.49797,133.49985
76,2669.27,0.0,0.0,0.0,0.0,MOERSTRAAT,15,landbouwgebied,5,4881.0,0.0,0.0,0.9075991
77,1175.61,244.71,8.42,0.20815578,1.7526716,GALGENAKKER,22,woonuitbreidingsgebied,3,7250.0,2060.4583,2060.4583,2117.035
78,121.33,83.88,9.75,0.69133765,6.740542,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8008.0,817.82996,817.82996,831.71045
79,675.7,144.83,6.556074,0.21434069,1.4052334,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7635.0,949.51624,949.51624,1089.1919
80,794.51,153.08,5.270349,0.19267221,1.0154498,MOLENSTRAAT,27,woongebied,1,7865.0,806.78503,806.78503,919.7822
81,5528.84,4660.19,15.874852,0.84288746,13.380714,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7939.0,73979.83,78725.45,76452.58
82,145.67,136.23,10.971248,0.935196,10.260266,LEKESTRAAT   SCHAPERIJ,24,woongebied,1,8029.0,1494.613,1494.613,1524.6345
83,2731.46,0.0,0.0,0.0,0.0,ZANDVLEUGE,21,woongebied,1,7154.0,0.0,0.0,3.6848495
84,1910.31,0.0,0.0,0.0,0.0,SINT-JANS VELD,12,landbouwgebied,5,5479.0,0.0,0.0,0.7059104
85,78.5,63.5,7.450252,0.8089172,6.026637,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,8060.0,473.091,683.1837,572.39264
86,332.77,75.08,7.99,0.22562131,1.8027143,MOLENSTRAAT,27,woongebied,1,7526.0,599.8892,599.8892,712.1766
87,344.64,108.86,5.6292653,0.3158658,1.7780925,ZUIDMOERSTRAAT GENTSESTEENWEG,19,woonvernieuwingsgebied,2,7869.0,612.8018,612.8018,728.8064
88,200.2,90.78,4.79,0.45344657,2.172009,MOLENSTRAAT,27,woongebied,1,7853.0,434.83618,434.83618,510.46964
89,117.83,71.24,10.84,0.60459983,6.553862,GEMEENTEHUIS   KERKESTEE,28,woongebied,1,7916.0,772.2416,772.2416,792.99164
