shapeid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"13399","5136387",220.04,63.390000,387.313000,6.110,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7889",93617.7221270000,208155.1224400000
"13400","5136400",13.25,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7889",93633.8602430000,208171.4688500000
"13401","4041569",265.52,79.380000,669.173000,8.430,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8031",94259.6695770000,207799.0230700000
"13402","5136485",347.39,40.360000,323.687000,8.020,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","7752",95284.0134740000,207910.2901700000
"13403","5136444",31.88,9.370000,34.482000,3.680,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8031",94293.5652310000,207847.2486000000
"13404","5136359",1657.22,654.020000,7373.451000,11.274,MOLENSTRAAT,,,Molenstraat,,MOLENSTRAAT,"27","7814",93328.4232860000,209127.9911000000
"13405","5136483",305.37,96.230000,817.955000,8.500,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","7752",95282.8160520000,207885.6529200000
"13406","5136519",97.32,0.000000,0.000000,,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","7559",95538.5005240000,207814.6716100000
"13407","5136503",148.87,148.870000,735.418000,4.940,,,,,Landbouwinfrastructuur,VROMBOUTSTRAAT,"8","6362",95885.0102780000,209656.3368500000
"13408","984462",1210.26,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VROMBAUT,"9","6268",96828.4837890000,208861.6639400000
"13409","5136515",2947.21,0.000000,0.000000,,,,,,Grasland,OOSTVELD,"7","6875",96598.5986360000,208158.8217300000
"13410","976216",11081.49,0.000000,0.000000,,,,,,Grasland,BOTERHOEK,"14","5204",90832.6632630000,211445.1284400000
"13411","5136334",304.12,79.730000,756.638000,9.490,GALGENAKKER,,,,,GALGENAKKER,"22","6754",91569.6699280000,209979.1827800000
"13412","5136375",129.93,49.970000,304.817000,6.100,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7906",93594.3649770000,208210.3514200000
"13413","983767",154.20,0.000000,0.000000,,,,,,Grasland,OOSTVELD,"7","6586",96868.2106950000,208496.3737900000
"13414","5136398",13.31,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7889",93629.6249180000,208184.0071100000
"13415","5136376",130.07,48.550000,297.126000,6.120,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7906",93595.8787000000,208237.8964000000
"13416","978267",56.92,59.530000,634.590000,10.660,MOEIE,MOEIE,,,,MOEIE,"16","7853",93251.7534000000,208780.9239300000
"13417","5136473",165.93,90.610000,537.317000,5.930,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","8029",94873.0028880000,208216.6904600000
"13418","5136506",97.73,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,OOSTVELDSTRAAT,"2","7002",96232.6642980000,208268.4347000000
